city,direction,filename,latitude,longitude,name,pano_id,uf
REGISTRO,270,CAoSLEFGMVFpcE5jU3h5WS1fTXZraDlEWEdZSDlmRkhkRkdyb3J2ek5fZ2owbXJZ-270.jpg,-24.5059926,-47.8393365,unknown,CAoSLEFGMVFpcE5jU3h5WS1fTXZraDlEWEdZSDlmRkhkRkdyb3J2ek5fZ2owbXJZ,unknown
REGISTRO,0,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R-0.jpg,-24.50571798352472,-47.839263416826725,unknown,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R,unknown
REGISTRO,90,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R-90.jpg,-24.50571798352472,-47.839263416826725,unknown,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R,unknown
REGISTRO,180,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R-180.jpg,-24.50571798352472,-47.839263416826725,unknown,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R,unknown
REGISTRO,270,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R-270.jpg,-24.50571798352472,-47.839263416826725,unknown,CAoSLEFGMVFpcE1tM1FWX1ZtamlxRlZ6bzh1NkZsQXFPY21LQ084WjBiUHI3dE9R,unknown
REGISTRO,0,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND-0.jpg,-24.5050087,-47.83907319999999,unknown,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND,unknown
REGISTRO,90,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND-90.jpg,-24.5050087,-47.83907319999999,unknown,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND,unknown
REGISTRO,180,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND-180.jpg,-24.5050087,-47.83907319999999,unknown,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND,unknown
REGISTRO,270,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND-270.jpg,-24.5050087,-47.83907319999999,unknown,CAoSLEFGMVFpcFBiRGROSUg5RlF6aDgyLTd3cHlQVTVrbDVIeDhnZXF6N0dTSTND,unknown
REGISTRO,0,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5-0.jpg,-24.5061016,-47.8389664,unknown,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5,unknown
REGISTRO,90,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5-90.jpg,-24.5061016,-47.8389664,unknown,CAoSLEFGMVFpcE0xM2ltTHpVWERtS1NlZEN6QTFBY1I3Vi1NVE4tNE9PbWRvbHg5,unknown
